ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
3108,نظام مراقبة المنازل الذكية بالواقع الافتراضي,الأمن السيبراني,نظام مراقبة مخصص لـ المنازل الذكية يعمل بالواقع الافتراضي ويهدف لرفع كفاءة التشغيل ضمن قطاع الأمن السيبراني.,المنازل الذكية
3109,خدمة ذكية المجمعات السكنية بالبلوك تشين,العقارات,خدمة ذكية مخصص لـ المجمعات السكنية يعمل بالبلوك تشين ويهدف لتسريع الإجراءات ضمن قطاع العقارات.,المجمعات السكنية
3110,لوحة تحكم الأحياء بالحوسبة السحابية,العقارات,لوحة تحكم مخصص لـ الأحياء يعمل بالحوسبة السحابية ويهدف لتسهيل الوصول للخدمات ضمن قطاع العقارات.,الأحياء
3111,حل رقمي المطاعم بالواقع المعزز,التجارة الإلكترونية,حل رقمي مخصص لـ المطاعم يعمل بالواقع المعزز ويهدف لتحسين تجربة المستخدم ضمن قطاع التجارة الإلكترونية.,المطاعم
3112,تطبيق كبار السن باستخدام إنترنت الأشياء,الصحة,تطبيق مخصص لـ كبار السن يعمل باستخدام إنترنت الأشياء ويهدف لتعزيز الأمان ضمن قطاع الصحة.,كبار السن
3113,حل رقمي المنازل الذكية بالحوسبة السحابية,الأمن السيبراني,حل رقمي مخصص لـ المنازل الذكية يعمل بالحوسبة السحابية ويهدف لرفع كفاءة التشغيل ضمن قطاع الأمن السيبراني.,المنازل الذكية
3114,خدمة ذكية المزارع المنزلية بالروبوتات الذكية,الزراعة,خدمة ذكية مخصص لـ المزارع المنزلية يعمل بالروبوتات الذكية ويهدف لتحسين تجربة المستخدم ضمن قطاع الزراعة.,المزارع المنزلية
3115,تطبيق المعلمين بالواقع المعزز,التعليم,تطبيق مخصص لـ المعلمين يعمل بالواقع المعزز ويهدف لرفع جودة الحياة ضمن قطاع التعليم.,المعلمين
3116,منصة موحدة الأسر باستخدام إنترنت الأشياء,المالية,منصة موحدة مخصص لـ الأسر يعمل باستخدام إنترنت الأشياء ويهدف لتسريع الإجراءات ضمن قطاع المالية.,الأسر
3117,تطبيق المجمعات السكنية بالحوسبة السحابية,العقارات,تطبيق مخصص لـ المجمعات السكنية يعمل بالحوسبة السحابية ويهدف لتعزيز الأمان ضمن قطاع العقارات.,المجمعات السكنية
3118,منصة موحدة الرياض بالواقع المعزز,المدن الذكية,منصة موحدة مخصص لـ الرياض يعمل بالواقع المعزز ويهدف لتسريع الإجراءات ضمن قطاع المدن الذكية.,الرياض
3119,منصة جدة بالبلوك تشين,المدن الذكية,منصة مخصص لـ جدة يعمل بالبلوك تشين ويهدف لتقليل الهدر ضمن قطاع المدن الذكية.,جدة
3120,خدمة ذكية كبار السن بالروبوتات الذكية,الصحة,خدمة ذكية مخصص لـ كبار السن يعمل بالروبوتات الذكية ويهدف لتسهيل الوصول للخدمات ضمن قطاع الصحة.,كبار السن
3121,نظام الحجاج بالنماذج اللغوية,الصحة,نظام مخصص لـ الحجاج يعمل بالنماذج اللغوية ويهدف لرفع كفاءة التشغيل ضمن قطاع الصحة.,الحجاج
3122,نظام مراقبة الجامعات بالذكاء الاصطناعي,التعليم,نظام مراقبة مخصص لـ الجامعات يعمل بالذكاء الاصطناعي ويهدف لدعم رؤية 2030 ضمن قطاع التعليم.,الجامعات
3123,لوحة تحكم المزارع المنزلية بالروبوتات الذكية,الزراعة,لوحة تحكم مخصص لـ المزارع المنزلية يعمل بالروبوتات الذكية ويهدف لتعزيز الأمان ضمن قطاع الزراعة.,المزارع المنزلية
3124,حل رقمي المنازل بالذكاء الاصطناعي,الطاقة,حل رقمي مخصص لـ المنازل يعمل بالذكاء الاصطناعي ويهدف لرفع كفاءة التشغيل ضمن قطاع الطاقة.,المنازل
3125,لوحة تحكم الشركات بالواقع الافتراضي,الأمن السيبراني,لوحة تحكم مخصص لـ الشركات يعمل بالواقع الافتراضي ويهدف لتقليل الهدر ضمن قطاع الأمن السيبراني.,الشركات
3126,منصة موحدة الرياض بالواقع الافتراضي,المدن الذكية,منصة موحدة مخصص لـ الرياض يعمل بالواقع الافتراضي ويهدف لتقليل الهدر ضمن قطاع المدن الذكية.,الرياض
3127,نظام مراقبة المجمعات السكنية بالذكاء الاصطناعي,العقارات,نظام مراقبة مخصص لـ المجمعات السكنية يعمل بالذكاء الاصطناعي ويهدف لرفع كفاءة التشغيل ضمن قطاع العقارات.,المجمعات السكنية
3128,منصة المعلمين بالنماذج اللغوية,التعليم,منصة مخصص لـ المعلمين يعمل بالنماذج اللغوية ويهدف لرفع جودة الحياة ضمن قطاع التعليم.,المعلمين
3129,نظام مراقبة المولات بتحليل البيانات,المدن الذكية,نظام مراقبة مخصص لـ المولات يعمل بتحليل البيانات ويهدف لتحسين الاستدامة ضمن قطاع المدن الذكية.,المولات
3130,محرك توصيات المطاعم باستخدام إنترنت الأشياء,التجارة الإلكترونية,محرك توصيات مخصص لـ المطاعم يعمل باستخدام إنترنت الأشياء ويهدف لدعم رؤية 2030 ضمن قطاع التجارة الإلكترونية.,المطاعم
3131,منصة الشركات الصغيرة بالبلوك تشين,المالية,منصة مخصص لـ الشركات الصغيرة يعمل بالبلوك تشين ويهدف لتعزيز الأمان ضمن قطاع المالية.,الشركات الصغيرة
3132,تطبيق الأسر بالحوسبة السحابية,المالية,تطبيق مخصص لـ الأسر يعمل بالحوسبة السحابية ويهدف لرفع كفاءة التشغيل ضمن قطاع المالية.,الأسر
3133,منصة موحدة جدة بالنماذج اللغوية,المدن الذكية,منصة موحدة مخصص لـ جدة يعمل بالنماذج اللغوية ويهدف لتقليل الهدر ضمن قطاع المدن الذكية.,جدة
3134,منصة السيارات الكهربائية بتحليل البيانات,الطاقة,منصة مخصص لـ السيارات الكهربائية يعمل بتحليل البيانات ويهدف لتقليل الهدر ضمن قطاع الطاقة.,السيارات الكهربائية
3135,لوحة تحكم المباني الحكومية بالذكاء الاصطناعي,الطاقة,لوحة تحكم مخصص لـ المباني الحكومية يعمل بالذكاء الاصطناعي ويهدف لرفع كفاءة التشغيل ضمن قطاع الطاقة.,المباني الحكومية
3136,خدمة ذكية المباني الحكومية بالتحليلات التنبؤية,الطاقة,خدمة ذكية مخصص لـ المباني الحكومية يعمل بالتحليلات التنبؤية ويهدف لتحسين تجربة المستخدم ضمن قطاع الطاقة.,المباني الحكومية
3137,منصة المتاجر الصغيرة بتحليل البيانات,التجارة الإلكترونية,منصة مخصص لـ المتاجر الصغيرة يعمل بتحليل البيانات ويهدف لدعم رؤية 2030 ضمن قطاع التجارة الإلكترونية.,المتاجر الصغيرة
